idx,precision,recall,f1
0,0.8670682907104492,0.7911285758018494,0.8273594975471497
1,0.8826509714126587,0.7751815319061279,0.8254328370094299
2,0.8501385450363159,0.7701927423477173,0.8081934452056885
3,0.8751891851425171,0.7698624134063721,0.8191539645195007
4,0.8321540951728821,0.7458621263504028,0.786648690700531
5,0.8340137004852295,0.7733408212661743,0.8025321960449219
6,0.8665117025375366,0.7612345218658447,0.8104686141014099
7,0.8758702278137207,0.755372166633606,0.8111706376075745
8,0.8544856309890747,0.7469789981842041,0.7971238493919373
9,0.8465167880058289,0.7484717965126038,0.7944808006286621
10,0.8736095428466797,0.7447144985198975,0.8040289878845215
11,0.8785614371299744,0.806864857673645,0.8411882519721985
12,0.83937007188797,0.7781866788864136,0.8076212406158447
13,0.8228234648704529,0.7779947519302368,0.7997814416885376
14,0.8524736762046814,0.7866871356964111,0.8182602524757385
15,0.857938289642334,0.7887519001960754,0.821891725063324
16,0.8378918170928955,0.8068051338195801,0.8220546841621399
17,0.8665443658828735,0.7800440788269043,0.8210221529006958
18,0.8707678318023682,0.7984507083892822,0.8330427408218384
19,0.8503459095954895,0.7497051954269409,0.7968604564666748
20,0.8314138054847717,0.7723839282989502,0.8008125424385071
21,0.8777397274971008,0.7905737161636353,0.8318795561790466
22,0.8391470909118652,0.766600489616394,0.801235020160675
23,0.844029426574707,0.7785965204238892,0.8099936842918396
24,0.8436611294746399,0.7494593262672424,0.7937751412391663
25,0.8485885858535767,0.7823042273521423,0.8140994310379028
26,0.8588249087333679,0.7716856598854065,0.8129267692565918
27,0.8464340567588806,0.7675593495368958,0.8050693869590759
28,0.8698223233222961,0.7632795572280884,0.8130755424499512
29,0.8452440500259399,0.7519941329956055,0.7958970069885254
30,0.8632707595825195,0.7539136409759521,0.8048946857452393
31,0.8932841420173645,0.7882063388824463,0.8374620676040649
32,0.894686222076416,0.8035265803337097,0.8466596603393555
33,0.8576077818870544,0.7857500314712524,0.8201078772544861
34,0.8768547773361206,0.779668927192688,0.8254109621047974
35,0.864619791507721,0.7734882831573486,0.8165191411972046
36,0.8477844595909119,0.7606730461120605,0.801869809627533
37,0.8233020305633545,0.7355028390884399,0.7769297957420349
38,0.8521249294281006,0.7601751089096069,0.8035280704498291
39,0.8418105244636536,0.7766926288604736,0.8079416155815125
40,0.8063843846321106,0.7762424945831299,0.7910264134407043
41,0.8500356674194336,0.7715240120887756,0.8088791966438293
42,0.8993368744850159,0.8321077227592468,0.8644170761108398
43,0.8578183650970459,0.7661060094833374,0.8093724846839905
44,0.8553484678268433,0.7694697976112366,0.810139536857605
45,0.8509718179702759,0.7728922367095947,0.8100548982620239
46,0.8836086988449097,0.741003692150116,0.8060474395751953
47,0.8477161526679993,0.7615095973014832,0.8023038506507874
48,0.8407150506973267,0.7694779634475708,0.803520679473877
49,0.8343907594680786,0.7711413502693176,0.8015201687812805
50,0.8649482727050781,0.7769489288330078,0.8185903429985046
51,0.8524826169013977,0.7750049829483032,0.8118995428085327
52,0.8631922006607056,0.7676469087600708,0.8126206994056702
53,0.8556733131408691,0.7780308723449707,0.8150070905685425
54,0.7931101322174072,0.7439773082733154,0.7677584886550903
55,0.8390249013900757,0.7533589601516724,0.7938876152038574
56,0.8227052092552185,0.7636056542396545,0.7920545339584351
57,0.8620724678039551,0.768835186958313,0.812788724899292
58,0.8608797788619995,0.7650827169418335,0.8101592063903809
59,0.870194673538208,0.7959362268447876,0.8314105868339539
60,0.829918622970581,0.7888021469116211,0.8088381886482239
61,0.8230654001235962,0.7549684643745422,0.7875476479530334
62,0.8330438137054443,0.787964403629303,0.8098772764205933
63,0.835503339767456,0.749923586845398,0.7904037237167358
64,0.8660593032836914,0.781967043876648,0.8218677043914795
65,0.8252498507499695,0.7757976055145264,0.7997599244117737
66,0.8286405205726624,0.764940619468689,0.7955173850059509
67,0.8439887762069702,0.7870675325393677,0.8145349621772766
68,0.8814901113510132,0.7721671462059021,0.8232149481773376
69,0.8520195484161377,0.7889924049377441,0.8192956447601318
70,0.8761863708496094,0.7625374794006348,0.8154210448265076
71,0.8130571842193604,0.7587670087814331,0.7849745154380798
72,0.8215263485908508,0.7551767826080322,0.7869555354118347
73,0.8490533828735352,0.776994526386261,0.8114272952079773
74,0.8638657927513123,0.756866455078125,0.8068341016769409
75,0.8501904010772705,0.7832907438278198,0.8153706192970276
76,0.836525559425354,0.7663208246231079,0.7998856902122498
77,0.8543616533279419,0.7550168633460999,0.8016229867935181
78,0.852888822555542,0.7486127018928528,0.7973560094833374
79,0.8764771819114685,0.8119746446609497,0.8429938554763794
80,0.8527550101280212,0.7862602472305298,0.8181588053703308
81,0.8772356510162354,0.7792383432388306,0.8253381848335266
82,0.8477343916893005,0.7622334957122803,0.8027135729789734
83,0.8663702011108398,0.7680509090423584,0.8142533302307129
84,0.8748045563697815,0.7538650035858154,0.8098445534706116
85,0.8403709530830383,0.7619973421096802,0.7992674112319946
86,0.857537031173706,0.762412965297699,0.8071820735931396
87,0.8576803803443909,0.7845537066459656,0.8194889426231384
88,0.85405033826828,0.7506695985794067,0.7990300059318542
89,0.8584199547767639,0.7447183728218079,0.7975370287895203
90,0.8772629499435425,0.8197875022888184,0.8475519418716431
