idx,rouge1_recall,rouge2_recall,rougeL_recall
0,0.345679012345679,0.175,0.2962962962962963
1,0.05555555555555555,0.006993006993006993,0.041666666666666664
2,0.03496503496503497,0.007042253521126761,0.03496503496503497
3,0.10185185185185185,0.018691588785046728,0.10185185185185185
4,0.10666666666666667,0.03355704697986577,0.07333333333333333
5,0.07432432432432433,0.02040816326530612,0.06756756756756757
6,0.0962962962962963,0.022388059701492536,0.07407407407407407
7,0.20606060606060606,0.09146341463414634,0.15151515151515152
8,0.08333333333333333,0.04195804195804196,0.05555555555555555
9,0.03987730061349693,0.0,0.03067484662576687
10,0.1076923076923077,0.027777777777777776,0.08307692307692308
11,0.0963855421686747,0.024390243902439025,0.08433734939759036
12,0.23076923076923078,0.015625,0.13846153846153847
13,0.10810810810810811,0.0136986301369863,0.05405405405405406
14,0.06349206349206349,0.016129032258064516,0.06349206349206349
15,0.18867924528301888,0.057692307692307696,0.11320754716981132
16,0.2647058823529412,0.014925373134328358,0.19117647058823528
17,0.05263157894736842,0.0,0.03508771929824561
18,0.203125,0.07936507936507936,0.171875
19,0.08241758241758242,0.027624309392265192,0.06043956043956044
20,0.04,0.020202020202020204,0.03
21,0.36046511627906974,0.10588235294117647,0.22093023255813954
22,0.06153846153846154,0.015503875968992248,0.06153846153846154
23,0.04895104895104895,0.014084507042253521,0.03496503496503497
24,0.01079136690647482,0.0036101083032490976,0.01079136690647482
25,0.3695652173913043,0.06666666666666667,0.2608695652173913
26,0.054474708171206226,0.01953125,0.04669260700389105
27,0.05333333333333334,0.02702702702702703,0.05333333333333334
28,0.08823529411764706,0.047337278106508875,0.07647058823529412
29,0.22466960352422907,0.022123893805309734,0.15418502202643172
30,0.17307692307692307,0.06451612903225806,0.11538461538461539
31,0.12857142857142856,0.057971014492753624,0.11428571428571428
32,0.3191489361702128,0.06521739130434782,0.2127659574468085
33,0.047619047619047616,0.008,0.031746031746031744
34,0.19230769230769232,0.07766990291262135,0.11538461538461539
35,0.32323232323232326,0.061224489795918366,0.20202020202020202
36,0.11009174311926606,0.018518518518518517,0.11009174311926606
37,0.18518518518518517,0.018633540372670808,0.09876543209876543
38,0.22033898305084745,0.07954545454545454,0.11299435028248588
39,0.09,0.030303030303030304,0.07
40,0.07964601769911504,0.026785714285714284,0.05309734513274336
41,0.036231884057971016,0.0,0.021739130434782608
42,0.11904761904761904,0.024390243902439025,0.09523809523809523
43,0.21818181818181817,0.037037037037037035,0.07272727272727272
44,0.11949685534591195,0.02531645569620253,0.07547169811320754
45,0.3135593220338983,0.09401709401709402,0.211864406779661
46,0.07222222222222222,0.0111731843575419,0.05
47,0.044642857142857144,0.0,0.044642857142857144
48,0.14942528735632185,0.03488372093023256,0.12643678160919541
49,0.3135593220338983,0.05128205128205128,0.17796610169491525
50,0.0625,0.015873015873015872,0.0625
51,0.16666666666666666,0.04819277108433735,0.10714285714285714
52,0.1810344827586207,0.03896103896103896,0.09913793103448276
53,0.13636363636363635,0.03669724770642202,0.08181818181818182
54,0.051094890510948905,0.007352941176470588,0.0364963503649635
55,0.13855421686746988,0.01818181818181818,0.07228915662650602
56,0.24324324324324326,0.045454545454545456,0.11711711711711711
57,0.208955223880597,0.045112781954887216,0.16417910447761194
58,0.10426540284360189,0.03333333333333333,0.07582938388625593
59,0.10204081632653061,0.010309278350515464,0.05102040816326531
60,0.08333333333333333,0.0,0.08333333333333333
61,0.16149068322981366,0.0375,0.11180124223602485
62,0.2631578947368421,0.05405405405405406,0.23684210526315788
63,0.09895833333333333,0.031413612565445025,0.06770833333333333
64,0.23255813953488372,0.047058823529411764,0.1511627906976744
65,0.04672897196261682,0.0,0.037383177570093455
66,0.07692307692307693,0.008620689655172414,0.07692307692307693
67,0.045454545454545456,0.0,0.045454545454545456
68,0.25688073394495414,0.06481481481481481,0.1743119266055046
69,0.3,0.0,0.175
70,0.05454545454545454,0.006097560975609756,0.048484848484848485
71,0.04093567251461988,0.0058823529411764705,0.029239766081871343
72,0.1782178217821782,0.03980099502487562,0.10891089108910891
73,0.1694915254237288,0.02564102564102564,0.13559322033898305
74,0.04316546762589928,0.0,0.04316546762589928
75,0.050505050505050504,0.01020408163265306,0.04040404040404041
76,0.32298136645962733,0.04375,0.2111801242236025
77,0.07103825136612021,0.02197802197802198,0.0546448087431694
78,0.016877637130801686,0.00423728813559322,0.016877637130801686
79,0.25,0.0,0.25
80,0.1,0.0,0.06666666666666667
81,0.22758620689655173,0.0763888888888889,0.13793103448275862
82,0.018518518518518517,0.0,0.018518518518518517
83,0.15730337078651685,0.011363636363636364,0.11235955056179775
84,0.032388663967611336,0.0,0.024291497975708502
85,0.15476190476190477,0.03614457831325301,0.09523809523809523
86,0.045112781954887216,0.0,0.045112781954887216
87,0.1,0.0,0.1
88,0.3352272727272727,0.08571428571428572,0.23295454545454544
89,0.09090909090909091,0.04365079365079365,0.07114624505928854
90,0.36363636363636365,0.0625,0.18181818181818182
91,0.11940298507462686,0.015151515151515152,0.07462686567164178
92,0.06217616580310881,0.03125,0.05181347150259067
93,0.06741573033707865,0.0,0.06741573033707865
94,0.22950819672131148,0.1,0.14754098360655737
95,0.03571428571428571,0.013452914798206279,0.03125
96,0.06493506493506493,0.013157894736842105,0.06493506493506493
97,0.32867132867132864,0.11971830985915492,0.1958041958041958
98,0.3523809523809524,0.07692307692307693,0.22857142857142856
99,0.22429906542056074,0.04716981132075472,0.1308411214953271
